Animal_Name,Common_Name,Age_Class,Sex,Occurrence,Strand_Date,County,City,Locality,Stranding_Details,Latitude,Longitude,Admit_Date,Status,Status_2,Disposition_Date,COD_List_Side,Diagnosis_List_Side
Rockon,California Sea Lion,Juvenile,Male,1,6/23/10,San Luis Obispo,Pismo Beach,Pismo State Beach,1/2 mile north of the Pismo Pier,35.144,-120.656,6/23/10,released,,8/14/10,,"malnutrition, renal failure"
Snowblanca (restrand),California Sea Lion,Adult,Female,1,6/30/10,Monterey,Monterey,San Carlos Beach,in-between rocks near the main staircase down to beach closest to USCG Pier,36.611,-121.892,7/18/10,released,,7/21/10,,"domoic acid toxicity (chronic) - suspect, bad location"
Wolfgang,California Sea Lion,Subadult,Male,1,7/1/10,San Luis Obispo,Avila Beach,Avila State Beach,"100 yards west of pier, near tower 1",35.172,-120.731,7/1/10,released,,7/14/10,,domoic acid toxicity (acute)
Andromeda,California Sea Lion,Adult,Female,1,7/5/10,Monterey,Moss Landing,Moss Landing Harbor - North,near boat ramp and generator,36.813,-121.796,7/5/10,released,,7/21/10,,domoic acid toxicity (acute)
L. Cohen,California Sea Lion,Adult,Female,1,7/7/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 4.5,35.07,-120.636,7/7/10,released,,7/27/10,,"bad location, domoic acid toxicity (acute)"
Contador,California Sea Lion,Adult,Female,1,7/7/10,San Luis Obispo,Pismo Beach,Pismo State Beach,Below Kontiki Inn at 1621 Price Street,35.141,-120.652,7/7/10,released,,8/14/10,,domoic acid toxicity (acute)
TID,California Sea Lion,Adult,Female,1,7/7/10,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,midramp,35.109,-120.638,7/7/10,died in treatment,,7/8/10,domoic acid toxicity (acute),"bad location, domoic acid toxicity (acute)"
Chance,California Sea Lion,Adult,Female,1,7/8/10,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,at the Grand Avenue ramp,35.122,-120.64,7/8/10,released,,8/14/10,,"bad location, domoic acid toxicity (acute), cardiomyopathy, abscess"
Fifa,California Sea Lion,Adult,Female,1,7/8/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,South of Pier Avenue ramp,35.1033,-120.6316,7/9/10,euthanasia,,8/5/10,"euthanasia, domoic acid toxicity (chronic), anesthesia","bad location, domoic acid toxicity (acute)"
Seal w. Kiss,California Sea Lion,Adult,Female,1,7/9/10,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,at Grand Avenue,35.122,-120.64,7/9/10,released,,7/24/10,,"bad location, domoic acid toxicity (acute), trauma (flipper)"
Bieber Fever,California Sea Lion,Adult,Female,1,7/9/10,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,between Grand and Pier Avenues,35.113,-120.638,7/9/10,died in treatment,,7/10/10,domoic acid toxicity (acute),"bad location, domoic acid toxicity (acute)"
Brooker,California Sea Lion,Adult,Female,1,7/9/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,between post 5 & 6,35.066,-120.637,7/9/10,died in treatment,,7/10/10,domoic acid toxicity (acute),"bad location, oil/tar, domoic acid toxicity (acute)"
Jan Steen,California Sea Lion,Adult,Female,1,7/10/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post 2,35.09,-120.629,7/10/10,died in treatment,,7/11/10,domoic acid toxicity (acute),"bad location, domoic acid toxicity (acute)"
Sniggler,California Sea Lion,Subadult,Female,1,7/10/10,Santa Cruz,Aptos,Rio Del Mar Beach (Seacliff State Beach),in front of 624 Beach Drive,36.9598,-121.8924,7/10/10,euthanasia,,8/2/10,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (acute)
Soccer Mom,California Sea Lion,Adult,Female,1,7/11/10,San Luis Obispo,Pismo Beach,Pismo State Beach,north of the pier,35.141,-120.652,7/11/10,released,,8/14/10,,domoic acid toxicity (acute)
Boyne,California Sea Lion,Adult,Female,1,7/12/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 6,35.061,-120.637,7/12/10,died in treatment,,7/25/10,domoic acid toxicity (chronic),"bad location, domoic acid toxicity (acute)"
Genevieve,California Sea Lion,Subadult,Female,1,7/12/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 2,35.092,-120.636,7/12/10,euthanasia,,8/2/10,"euthanasia, domoic acid toxicity (chronic)","bad location, domoic acid toxicity (acute)"
Frou Frou,California Sea Lion,Adult,Female,1,7/12/10,San Luis Obispo,Pismo Beach,Pismo Beach,"near stairs of Kontiki Inn, north side of pier",35.134,-120.646,7/12/10,released,,7/27/10,,domoic acid toxicity (acute)
Wakeup,California Sea Lion,Adult,Female,1,7/13/10,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,100 yards south of Grand Avenue,35.121,-120.635,7/13/10,released,,7/30/10,,"bad location, domoic acid toxicity (acute)"
Boondoggle,California Sea Lion,Adult,Female,1,7/13/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 2,35.092,-120.636,7/13/10,released,,8/4/10,,"bad location, domoic acid toxicity (acute)"
Goodnight,California Sea Lion,Adult,Female,1,7/13/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 6,35.061,-120.637,7/13/10,released,,7/30/10,,"bad location, domoic acid toxicity (acute)"
Ariana,California Sea Lion,Adult,Female,1,7/14/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post 3,35.08,-120.629,7/14/10,euthanasia,,7/18/10,"euthanasia, domoic acid toxicity (acute), carcinoma","bad location, pyometra, domoic acid toxicity (acute)"
Loompa,California Sea Lion,Adult,Female,1,7/14/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post 2,35.092,-120.636,7/14/10,released,,7/30/10,,"bad location, domoic acid toxicity (acute)"
Heeshee,California Sea Lion,Juvenile,Male,1,8/4/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 3,35.083,-120.636,8/4/10,euthanasia,,8/10/10,"euthanasia, leptospirosis","domoic acid toxicity (acute), pneumonia, leptospirosis / bad location, trauma (flipper)"
Wayoff,California Sea Lion,Adult,Female,1,8/15/10,Monterey,Moss Landing,Salinas River State Beach,"off Sandholdt Road, near smoke stacks",36.804,-121.788,8/16/10,euthanasia,,9/8/10,"euthanasia, domoic acid toxicity (chronic), encephalitis",domoic acid toxicity (chronic)
Wiff,California Sea Lion,Adult,Female,1,8/17/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,just before post #3,35.083,-120.636,8/17/10,released,,9/21/10,,"bad location, corneal edema, domoic acid toxicity (acute)"
Peridot,California Sea Lion,Adult,Female,1,8/17/10,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,on beach at Grand Avenue near drive on entrance,35.122,-120.64,8/17/10,euthanasia,,10/12/10,"euthanasia, domoic acid toxicity (chronic)","bad location, domoic acid toxicity (chronic)"
Jaycee,California Sea Lion,Adult,Female,1,8/20/10,San Mateo,Pacifica,Linda Mar Beach,north end of beach near the bluff,37.6031,-122.4997,8/20/10,died in treatment,,8/21/10,domoic acid toxicity (acute),"trauma (eye), domoic acid toxicity (acute)"
Rockon (restrand),California Sea Lion,Juvenile,Male,1,8/22/10,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Post 5,35.0619,-120.6287,8/27/10,euthanasia,,8/28/10,"euthanasia, renal failure","bad location, renal failure"
Bobble,California Sea Lion,Adult,Female,1,8/27/10,Santa Cruz,Aptos,Seacliff State Beach,"far north end, on beach near 737 Las Olas Drive",36.962,-121.919,8/28/10,euthanasia,,10/27/10,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Alfalfa,California Sea Lion,Adult,Female,1,8/30/10,San Luis Obispo,Morro Bay,Morro Strand State Beach - South,South of Chevron Beach,35.396,-120.873,8/30/10,euthanasia,,9/2/10,"euthanasia, trauma, carcinoma",trauma
Gibe,California Sea Lion,Adult,Female,1,8/31/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post 6,35.061,-120.637,9/1/10,died in treatment,,9/3/10,"domoic acid toxicity (acute), pneumonia","bad location, domoic acid toxicity (acute), pneumonia, trauma (old)"
Broonzy,California Sea Lion,Subadult,Male,1,9/22/10,Santa Cruz,Watsonville,Pajaro Dunes (Sunset State Beach),"Far southern end, just north of Pelican Point",36.855,-121.823,9/22/10,released,,10/6/10,,domoic acid toxicity (acute)
Offshore,California Sea Lion,Adult,Female,1,9/28/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 7,35.053,-120.638,9/28/10,released,,10/13/10,,"bad location, domoic acid toxicity (acute)"
Carcass,California Sea Lion,Adult,Female,1,10/2/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post 7,35.051,-120.631,10/2/10,carcass,,10/2/10,domoic acid toxicity (acute),"domoic acid toxicity (acute), bad location"
Gigi,California Sea Lion,Adult,Female,1,10/2/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post 1,35.096,-120.636,10/2/10,released,,10/19/10,,"bad location, domoic acid toxicity (acute)"
Stromboli,California Sea Lion,Adult,Female,1,10/4/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Oso Flaco,35.035,-120.64,10/4/10,euthanasia,,10/12/10,"euthanasia, domoic acid toxicity (acute)","domoic acid toxicity (acute), bad location"
Buena (restrand),California Sea Lion,Adult,Female,1,10/5/10,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,"Guadalupe Dunes access, north of the Santa Maria River",34.981,-120.653,10/5/10,released,,10/19/10,,"bad location, domoic acid toxicity (chronic)"
Figuero,California Sea Lion,Adult,Female,1,10/5/10,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Post 8,35.035,-120.641,10/5/10,released,,10/25/10,,"domoic acid toxicity (acute), bad location"
Grande,California Sea Lion,Adult,Female,1,10/10/10,San Luis Obispo,Grover Beach,Oceano Dunes Vehicular Recreation Area,at Grand Avenue,35.109,-120.638,10/10/10,died in treatment,,10/11/10,"domoic acid toxicity (acute), carcinoma","bad location, carcinoma, domoic acid toxicity (acute)"
Heston,California Sea Lion,Adult,Female,1,10/11/10,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Pier Avenue,35.105,-120.637,10/11/10,released,,10/27/10,,"bad location, domoic acid toxicity (acute)"
Yoko,California Sea Lion,Adult,Female,1,10/11/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 1,35.096,-120.636,10/11/10,died in treatment,,10/11/10,domoic acid toxicity (acute),"bad location, domoic acid toxicity (acute)"
Spearmint,California Sea Lion,Adult,Female,1,10/11/10,San Luis Obispo,Pismo Beach,Pismo State Beach,north end towards Sea Crest Resort,35.141,-120.652,10/11/10,euthanasia,,11/10/10,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (acute), domoic acid toxicity (chronic), trauma (body)"
Zork,California Sea Lion,Adult,Female,1,10/12/10,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,"Midramp, half way between Grand Avenue and Pier Avenue",35.109,-120.638,10/12/10,released,,10/25/10,,"domoic acid toxicity (acute), bad location"
Yankee,California Sea Lion,Adult,Female,1,10/13/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 6 1/2,35.061,-120.637,10/13/10,released,,11/3/10,,"domoic acid toxicity (acute), bad location"
Phillie,California Sea Lion,Adult,Female,1,10/13/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,post 1.5,35.057,-120.637,10/13/10,died in treatment,,10/14/10,domoic acid toxicity (chronic),"bad location, domoic acid toxicity (acute)"
Devil Ray,California Sea Lion,Juvenile,Male,1,10/13/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Just north of Post 2,35.096,-120.636,10/13/10,released,,10/25/10,,"domoic acid toxicity (acute), bad location"
Lucerno,California Sea Lion,Adult,Female,1,10/14/10,San Luis Obispo,Cayucos,,"641 Lucerne Road, on front porch",35.442,-120.909,10/14/10,released,,10/25/10,,"bad location, domoic acid toxicity (acute)"
Mrs. Robinson,California Sea Lion,Adult,Female,1,10/15/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 4,35.074,-120.636,10/15/10,died in treatment,,10/16/10,domoic acid toxicity (acute),"bad location, domoic acid toxicity (acute)"
Dustin,California Sea Lion,Adult,Female,1,10/16/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,between posts 3 and 4,35.08,-120.629,10/16/10,released,,10/27/10,,"domoic acid toxicity (acute), bad location"
Elaine,California Sea Lion,Juvenile,Male,1,10/16/10,San Luis Obispo,Pismo Beach,Pismo State Beach,just South of the pier,35.1378,-120.6442,10/16/10,released,,11/9/10,,"domoic acid toxicity (acute), bad location"
Graduate,California Sea Lion,Adult,Female,1,10/17/10,San Luis Obispo,Pismo Beach,Pismo State Beach,"just north of the pier, in front of the Kon Tiki Inn",35.144,-120.656,10/17/10,euthanasia,,12/15/10,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (acute), domoic acid toxicity (chronic)"
Plastics,California Sea Lion,Juvenile,Male,1,10/19/10,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Between posts 7 and 8,35.049,-120.639,10/19/10,released,,10/25/10,,"domoic acid toxicity (acute), bad location"
Ollie Today,California Sea Lion,Adult,Female,1,10/22/10,Monterey,Pebble Beach,Bird Rock (17 Mile Drive),,36.591,-121.968,10/22/10,died in treatment,,10/24/10,domoic acid toxicity (acute),domoic acid toxicity (acute)
DOA,California Sea Lion,Adult,Female,1,10/23/10,Santa Barbara,Vandenberg,Vandenberg Air Force Base,Wall Beach,34.724,-120.612,10/23/10,DOA,,10/23/10,domoic acid toxicity (acute),"oil/tar, domoic acid toxicity (acute)"
Frenzy,California Sea Lion,Adult,Female,1,11/9/10,Monterey,Moss Landing,Moss Landing Harbor - North,Sea Harvest Restaurant boat dock,36.81,-121.785,11/9/10,released,,11/18/10,,domoic acid toxicity (acute)
Abino (restrand),California Sea Lion,Juvenile,Male,1,11/24/10,San Francisco,San Francisco,Treasure Island,"next to street by entrance gate, across from large U shaped building on Avenue of the Palms",37.8165,-122.3721,11/24/10,euthanasia,,12/7/10,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (chronic), bad location"
Na'au (re-restrand),California Sea Lion,Adult,Female,1,11/25/10,Contra Costa,Brentwood,,2400 Delta Road and Hotchkiss Road,37.9693,-121.6571,12/4/10,euthanasia,,12/7/10,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Advent,California Sea Lion,Adult,Female,1,11/26/10,Monterey,Pacific Grove,,"across from 1705 Sunset Drive, near cross street of Arena Avenue",36.627,-121.9385,11/26/10,died in treatment,,11/29/10,"carcinoma, domoic acid toxicity (chronic)",carcinoma
Turtle Dove,California Sea Lion,Adult,Female,1,12/1/10,San Francisco,San Francisco,Fort Funston,South end of parking lot where hang gliders launch,37.729,-122.515,12/1/10,euthanasia,,12/1/10,"euthanasia, trauma, cystitis, domoic acid toxicity (chronic)",trauma
Jingle Bells,California Sea Lion,Adult,Female,1,12/1/10,San Luis Obispo,,Spooners Cove (Montana de Oro State Park),South end of beach,35.275,-120.9,12/1/10,euthanasia,,12/14/10,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (acute), domoic acid toxicity (chronic), pregnant"
NotaSO,California Sea Lion,Adult,Female,1,2/16/11,San Luis Obispo,Cambria,Shamel County Park,South end of Moonstone beach below bluff,35.565,-121.1089,2/16/11,euthanasia,,3/26/11,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (acute), domoic acid toxicity (chronic)"
Tuff,California Sea Lion,Adult,Female,1,2/20/11,San Luis Obispo,Avila Beach,Port San Luis Pier and Beach,"On rocks behind building, near boat launch",35.168,-120.745,2/20/11,released,,3/8/11,,"domoic acid toxicity (acute), pregnant"
Sweet Peach,California Sea Lion,Adult,Female,1,3/5/11,Monterey,Moss Landing,Moss Landing Beach,near rocks behind Phils Fish Market,36.801,-121.793,3/5/11,euthanasia,,3/9/11,"euthanasia, carcinoma","renal failure, domoic acid toxicity (acute)"
Gia,California Sea Lion,Adult,Female,1,3/15/11,Santa Cruz,Santa Cruz,De Anza Trailer Park Access,2395 Delaware Avenue,36.944,-122.063,3/15/11,died in treatment,,3/16/11,domoic acid toxicity (acute),domoic acid toxicity (acute)
Venditti,California Sea Lion,Adult,Female,1,3/24/11,San Luis Obispo,Morro Bay,Morro Strand State Beach - South,"north of Highway 41, halfway between Highway 41 and northern point",35.392,-120.872,3/24/11,released,,4/8/11,,domoic acid toxicity (acute)
Breezy,California Sea Lion,Adult,Female,1,3/26/11,San Mateo,Half Moon Bay,Poplar Beach,500 yards south of poplar access point,37.447,-122.451,3/31/11,euthanasia,,5/6/11,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (chronic), human interaction"
Duvall,California Sea Lion,Adult,Female,1,4/6/11,San Luis Obispo,,,"Oso Flaco, near post #16",35.031,-120.641,4/7/11,released,,4/28/11,,"domoic acid toxicity (acute), pregnant, abortion"
Vanwinkle,California Sea Lion,Adult,Female,1,4/17/11,Mendocino,Little River,Van Damme State Beach,on beach right in front of parking lot - easy access,39.2736,-123.791,4/18/11,euthanasia,,4/29/11,"euthanasia, domoic acid toxicity (chronic), trauma","trauma, human interaction, domoic acid toxicity (acute)"
Carcass,California Sea Lion,Adult,Male,1,4/21/11,Monterey,Moss Landing,,"Highway 1, ~50 yards south of where the ""Sundance"" vegetable plant meets Highway 1",36.832,-121.809,4/22/11,carcass,,4/22/11,"trauma, domoic acid toxicity (chronic)","human interaction, bad location, trauma"
Kombucha,California Sea Lion,Juvenile,Male,1,4/30/11,Monterey,Monterey,San Carlos Beach,near US Coast Guard station,36.611,-121.892,4/30/11,euthanasia,,5/23/11,domoic acid toxicity (chronic),"malnutrition, domoic acid toxicity (chronic)"
Seasquire,California Sea Lion,Adult,Male,1,5/14/11,Alameda,Oakland,Middle Harbor Shoreline,on sidewalk,37.8058,-122.3236,5/17/11,DOA,,5/17/11,"pericarditis, gunshot","gunshot, bad location"
Kiaoro,California Sea Lion,Adult,Female,1,6/22/11,San Luis Obispo,Pismo Beach,Pismo Beach,South of tower,35.1218,-120.6355,6/22/11,euthanasia,,6/22/11,"euthanasia, prolapse, domoic acid toxicity (chronic)",prolapse (uterine)
Muscat,California Sea Lion,Adult,Female,1,7/1/11,San Luis Obispo,,Montana de Oro State Park,"on sand spit, mile marker 1",35.314,-120.879,7/1/11,released,,7/18/11,,domoic acid toxicity (chronic)
Babe,California Sea Lion,Adult,Female,1,7/2/11,San Luis Obispo,Avila Beach,Avila State Beach,Next to Babe Lane,35.171,-120.741,7/2/11,euthanasia,,7/18/11,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Midway,California Sea Lion,Juvenile,Male,1,7/2/11,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,Midway between Pier Avenue and Grand Avenue,35.109,-120.638,7/2/11,released,,7/30/11,,"domoic acid toxicity (chronic), bad location"
Villaroto,California Sea Lion,Adult,Female,1,7/3/11,San Luis Obispo,Cambria,Leffingwell Landing (Moonstone Beach),,35.575,-121.12,7/3/11,euthanasia,,7/30/11,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Imogen,California Sea Lion,Adult,Female,1,7/13/11,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 2,35.092,-120.636,7/13/11,released,,7/30/11,,"bad location, abscess, domoic acid toxicity (acute)"
Crusty,California Sea Lion,Adult,Female,1,7/22/11,San Luis Obispo,Morro Bay,Morro Strand State Beach - South,Ocean side at Morro Rock,35.369,-120.871,7/23/11,died in treatment,,8/12/11,domoic acid toxicity (chronic),domoic acid toxicity (chronic)
Copernicus,California Sea Lion,Juvenile,Male,1,7/25/11,Monterey,Carmel,Carmel City Beach,South end of beach in shorebreak,36.545,-121.937,7/25/11,released,,9/17/11,,"domoic acid toxicity (acute), abscess, trauma (flipper)"
Frou Frou (restrand),California Sea Lion,Adult,Female,1,7/26/11,San Luis Obispo,Pismo Beach,Pismo State Beach,1/4 mile south of the pier,35.13,-120.644,7/26/11,euthanasia,,7/30/11,"euthanasia, domoic acid toxicity (chronic)",oil/tar
Firefighters,California Sea Lion,Adult,Female,1,7/26/11,San Luis Obispo,Shell Beach,,Ocean Boulevard at end of Palomar Avenue,35.151,-120.681,7/26/11,released,,8/13/11,,"domoic acid toxicity (acute), corneal edema"
Arafel,California Sea Lion,Adult,Female,1,7/27/11,San Luis Obispo,Pismo Beach,Pismo State Beach,"South of pier, on south side of creek outlet",35.13,-120.644,7/27/11,released,,8/13/11,,domoic acid toxicity (acute)
Jamara,California Sea Lion,Juvenile,Male,1,7/28/11,San Luis Obispo,Pismo Beach,Pismo State Beach,"north of the pier, near tower 5",35.1392,-120.6443,7/28/11,released,,8/9/11,,domoic acid toxicity (acute)
Bassett Hound,California Sea Lion,Adult,Female,1,7/30/11,San Luis Obispo,Pismo Beach,Pismo State Beach,"In front of the Kon Tiki Hotel, north end of Pismo Beach",35.141,-120.652,7/30/11,released,,8/15/11,,domoic acid toxicity (acute)
Slovakia,California Sea Lion,Adult,Female,1,7/30/11,San Luis Obispo,Pismo Beach,Pismo State Beach,Below Kon Tiki Resort,35.141,-120.652,7/30/11,released,,8/15/11,,domoic acid toxicity (acute)
Duriff,California Sea Lion,Adult,Female,1,8/1/11,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 5,35.066,-120.637,8/1/11,released,,8/13/11,"euthanasia, domoic acid toxicity (acute)","domoic acid toxicity (acute), bad location"
Hani,California Sea Lion,Adult,Female,1,8/1/11,San Luis Obispo,Pismo Beach,Shell beach,Ocean Boulevard between Leeward Avenue and Pier Avenue,35.159,-120.67,8/2/11,released,,8/26/11,,"domoic acid toxicity (acute), abscess"
Matrim,California Sea Lion,Subadult,Male,1,8/1/11,San Luis Obispo,Pismo Beach,,Vista del Mar Avenue and Ocean Boulevard,35.15,-120.676,8/3/11,released,,8/27/11,,"domoic acid toxicity (acute), human interaction"
Osana,California Sea Lion,Adult,Female,1,8/2/11,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,At Pier Avenue,35.109,-120.638,8/2/11,released,,8/26/11,,"domoic acid toxicity (acute), bad location"
Syrah,California Sea Lion,Adult,Female,1,8/2/11,San Luis Obispo,Cayucos,Morro Strand State Beach - North,off of Studio Drive,35.392,-120.872,8/2/11,released,,9/12/11,,"domoic acid toxicity (acute), trauma, trauma (flipper)"
Gone Fishing,California Sea Lion,Subadult,Male,1,8/3/11,Marin,Greenbrae,,"Corte madera creek; on dock at 50 Drakes Bay Road,  Marin Rowing Club",37.943,-122.5169,8/3/11,died in treatment,,8/5/11,"leptospirosis, domoic acid toxicity (chronic)","domoic acid toxicity (chronic), leptospirosis"
Sixpence,California Sea Lion,Adult,Female,1,8/4/11,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 2,35.092,-120.636,8/4/11,released,,8/24/11,,"bad location, domoic acid toxicity (acute)"
Arbela,California Sea Lion,Adult,Female,1,8/9/11,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 1,35.096,-120.636,8/9/11,released,,8/31/11,,"bad location, domoic acid toxicity (acute)"
Perrin,California Sea Lion,Adult,Female,1,8/9/11,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 1,35.0489,-120.6305,8/9/11,released,,8/31/11,,"bad location, domoic acid toxicity (acute)"
Kuuipa,California Sea Lion,Adult,Female,1,8/10/11,San Luis Obispo,Pismo Beach,,Below The Cliffs Resort,35.155,-120.691,8/10/11,euthanasia,,8/21/11,"euthanasia, domoic acid toxicity (chronic), pneumonia, peritonitis",domoic acid toxicity (acute)
Aramon,California Sea Lion,Subadult,Female,1,8/10/11,San Luis Obispo,Cambria,Hearst Memorial State Beach,"north end, far corner of the cove",35.635,-121.189,8/10/11,released,,8/26/11,,domoic acid toxicity (acute)
Gooden,California Sea Lion,Subadult,Male,1,8/12/11,Monterey,Pebble Beach,17 Mile Drive,between Point Joe and Ocean Road,36.614,-121.962,8/12/11,died in treatment,,8/12/11,domoic acid toxicity (acute),domoic acid toxicity (acute)
Duriff (restrand),California Sea Lion,Adult,Female,1,8/13/11,San Mateo,Half Moon Bay,Pelican Point Beach,Miramonte Point Rd - left on beach 200 ft,37.429,-122.446,8/15/11,euthanasia,,8/20/11,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (acute)
Piece-of-me,California Sea Lion,Subadult,Female,1,8/15/11,San Luis Obispo,Shell Beach,,"Facing ocean, down the right set of stairs from Ocean Boulevard  and Vista Del Mar Avenue",35.151,-120.681,8/15/11,released,,8/31/11,,domoic acid toxicity (chronic)
King Neptune,California Sea Lion,Adult,Male,1,8/16/11,Santa Cruz,Santa Cruz,Cowell Beach,West side of the wharf,36.951,-122.017,8/17/11,euthanasia,,8/25/11,"euthanasia, gunshot, pneumonia","trauma, gunshot, pneumonia"
Hit and Miss,California Sea Lion,Adult,Male,1,8/17/11,San Luis Obispo,,Montana de Oro State Park,In between the sand spit and the ring trail,35.298,-120.886,8/17/11,released,,8/30/11,,domoic acid toxicity (acute)
Gregory Rose,California Sea Lion,Juvenile,Male,1,8/22/11,Monterey,Sand City,"Monterey State Beach (Tioga, Seaside)",50 yards north of Tioga Avenue construction area,36.635,-121.841,8/22/11,euthanasia,,8/24/11,"euthanasia, peritonitis, abscess","peritonitis, abscess"
Calypso,California Sea Lion,Juvenile,Male,1,8/24/11,San Luis Obispo,Shell Beach,,below Cliffs Resort,35.155,-120.691,8/24/11,released,,9/9/11,,domoic acid toxicity (acute)
Hani (restrand),California Sea Lion,Adult,Female,1,8/29/11,Marin,Stinson Beach,Seadrift Beach,15 houses from end,37.8897,-122.6812,8/29/11,died in treatment,,8/30/11,"abscess, pneumonia, domoic acid toxicity (chronic)","pneumonia, abscess"
Tizer,California Sea Lion,Adult,Female,1,8/30/11,San Luis Obispo,Oceano,Oceano Dunes Vehicular Recreation Area,midramp,35.113,-120.638,8/30/11,euthanasia,,10/18/11,"euthanasia, domoic acid toxicity (chronic)","domoic acid toxicity (chronic), bad location"
Trevor,California Sea Lion,Adult,Female,1,9/1/11,San Luis Obispo,,Oceano Dunes Vehicular Recreation Area,Post 4,35.074,-120.636,9/1/11,died in treatment,,9/6/11,"encephalitis, domoic acid toxicity (acute)","bad location, domoic acid toxicity (acute), malnutrition"
Aramon (restrand),California Sea Lion,Subadult,Female,1,9/4/11,Sonoma,Bodega Bay,Doran Beach Regional Park,near the Cypress Day Use Area,38.3135,-123.043,9/4/11,euthanasia,,9/7/11,"euthanasia, domoic acid toxicity (chronic)",domoic acid toxicity (chronic)
Pisano,California Sea Lion,Juvenile,Male,1,9/21/11,Sonoma,Bodega Bay,Bodega Harbor,"Spud Point Marina, B dock",38.3294,-123.0576,9/22/11,euthanasia,,10/2/11,"euthanasia, leptospirosis, domoic acid toxicity (chronic)","leptospirosis, domoic acid toxicity (chronic)"
Shocky,California Sea Lion,Adult,Female,1,9/30/11,Santa Cruz,Santa Cruz,Its Beach,,36.946,-122.026,9/30/11,died in treatment,,10/4/11,leptospirosis,"leptospirosis, domoic acid toxicity (acute), carcinoma, trauma (eye)"
Broadway Bound,California Sea Lion,Adult,Female,1,10/1/11,San Mateo,Burlingame,,On South 101 near Broadway exit,37.5898,-122.3621,10/1/11,euthanasia,,10/5/11,"euthanasia, domoic acid toxicity (chronic), gunshot, trauma","trauma (eye), gunshot, bad location, domoic acid toxicity (chronic)"
